[Script Info]
; Script generated by Aegisub 3.0.4
; http://www.aegisub.org/
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType: v4.00+
Video Zoom Percent: 0.5
Scroll Position: 25
Active Line: 30
Audio URI: Silicon.Valley.S02E01.720p.HDTV.x264-IMMERSE.mkv
Video File: Silicon.Valley.S02E01.720p.HDTV.x264-IMMERSE.mkv
YCbCr Matrix: TV.601
Video Aspect Ratio: c1.77778
Video Position: 2043
Collisions:Normal

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:01.08,0:00:02.77,*Default,NTP,0,0,0,,{\an8}{\fn方正黑体简体\fs18\b1\bord1\shad1\3c&H2F2F2F&}AT&T球場\N舊金山巨人隊主場
Dialogue: 0,0:00:12.65,0:00:14.52,*Default,NTP,0,0,0,,我操  無所謂了
Dialogue: 0,0:00:14.93,0:00:16.17,*Default,NTP,0,0,0,,你沒事吧  理查德
Dialogue: 0,0:00:16.17,0:00:17.55,*Default,NTP,0,0,0,,對  沒事
Dialogue: 0,0:00:17.80,0:00:19.99,*Default,NTP,0,0,0,,抱歉  我投球沒辦法更慢了
Dialogue: 0,0:00:19.99,0:00:21.67,*Default,NTP,0,0,0,,再試一次  理查德
Dialogue: 0,0:00:21.78,0:00:23.31,*Default,NTP,0,0,0,,不用了  沒事  我不想試
Dialogue: 0,0:00:23.35,0:00:25.87,*Default,NTP,0,0,0,,說不定有人想試  下一個誰來
Dialogue: 0,0:00:26.01,0:00:27.27,*Default,NTP,0,0,0,,如果必須有人去擊球  那我來
Dialogue: 0,0:00:27.27,0:00:28.84,*Default,NTP,0,0,0,,但真挺嚇人的
Dialogue: 0,0:00:28.84,0:00:30.67,*Default,NTP,0,0,0,,你確定  我們整一小時的任務就是陪你們
Dialogue: 0,0:00:30.67,0:00:34.05,*Default,NTP,0,0,0,,有人嗎  如果沒人想來你們會難過嗎
Dialogue: 0,0:00:36.56,0:00:37.84,*Default,NTP,0,0,0,,女士們先生們
Dialogue: 0,0:00:37.84,0:00:40.99,*Default,NTP,0,0,0,,歡迎來到斯坦恩·泰勒基金年度秋季經典賽
Dialogue: 0,0:00:40.99,0:00:42.52,*Default,NTP,0,0,0,,首先讓我們為這位
Dialogue: 0,0:00:42.52,0:00:44.30,*Default,NTP,0,0,0,,非常特別的客人干杯
Dialogue: 0,0:00:44.30,0:00:46.35,*Default,NTP,0,0,0,,他就是理查德·亨德里克斯
Dialogue: 0,0:00:46.71,0:00:48.64,*Default,NTP,0,0,0,,理查德  你幾周前
Dialogue: 0,0:00:48.64,0:00:51.34,*Default,NTP,0,0,0,,從'科技博客'創業展會捧回大獎后
Dialogue: 0,0:00:51.36,0:00:53.65,*Default,NTP,0,0,0,,我們就愛上了你和你的技術
Dialogue: 0,0:00:53.65,0:00:56.14,*Default,NTP,0,0,0,,我們知道全硅谷的人都想為你投資
Dialogue: 0,0:00:56.14,0:01:00.08,*Default,NTP,0,0,0,,我們也知道你可能會選彼得·格里高利
Dialogue: 0,0:01:00.08,0:01:02.71,*Default,NTP,0,0,0,,但我們仍很希望你能成為我們的一員
Dialogue: 0,0:01:02.71,0:01:06.83,*Default,NTP,0,0,0,,讓斯坦恩·泰勒基金為你們注入第一輪融資
Dialogue: 0,0:01:06.83,0:01:09.64,*Default,NTP,0,0,0,,因為只要我們齊心  理查德  就能夠
Dialogue: 0,0:01:09.86,0:01:13.45,*Default,NTP,0,0,0,,打出全壘打
Dialogue: 0,0:01:16.06,0:01:18.31,*Default,NTP,0,0,0,,-是嘛  -你怎么想  理查德
Dialogue: 0,0:01:20.33,0:01:21.86,*Default,NTP,0,0,0,,我會盡我所能
Dialogue: 0,0:01:23.65,0:01:24.37,*Default,NTP,0,0,0,,好的
Dialogue: 0,0:01:24.38,0:01:26.03,*Default,NTP,0,0,0,,大家好好玩
Dialogue: 0,0:01:25.18,0:01:26.92,*Default,NTP,0,0,0,,{\an8}{\fn方正黑体简体\fs18\b1\bord1\shad1\3c&H2F2F2F&}斯坦恩·泰勒基金
Dialogue: 0,0:01:28.39,0:01:30.30,*Default,NTP,0,0,0,,我說不清  伙計  這些基金
Dialogue: 0,0:01:30.30,0:01:32.11,*Default,NTP,0,0,0,,都在追捧我們  感覺好怪
Dialogue: 0,0:01:32.11,0:01:33.84,*Default,NTP,0,0,0,,即使我們根本就不準備接受他們的投資
Dialogue: 0,0:01:33.84,0:01:35.20,*Default,NTP,0,0,0,,理查德  彼得·格里高利
Dialogue: 0,0:01:35.20,0:01:37.50,*Default,NTP,0,0,0,,還并未正式給我們風投協議
Dialogue: 0,0:01:37.50,0:01:39.81,*Default,NTP,0,0,0,,對  但他明天回來之后就會給
Dialogue: 0,0:01:39.82,0:01:41.87,*Default,NTP,0,0,0,,如果你連這么多人
Dialogue: 0,0:01:41.87,0:01:43.74,*Default,NTP,0,0,0,,拍你馬屁都接受不了
Dialogue: 0,0:01:43.75,0:01:45.29,*Default,NTP,0,0,0,,那你真是沒救了
Dialogue: 0,0:01:45.70,0:01:48.46,*Default,NTP,0,0,0,,你就不能放輕松  好好感受一下嗎
Dialogue: 0,0:01:48.47,0:01:52.34,*Default,NTP,0,0,0,,我們可是在AT&T球場接受眾人膜拜
Dialogue: 0,0:01:53.44,0:01:56.72,*Default,NTP,0,0,0,,我們正站在美國職棒大聯盟總冠軍的主場上
Dialogue: 0,0:01:57.42,0:02:00.66,*Default,NTP,0,0,0,,-我完全激動不起來  -我也不在乎
Dialogue: 0,0:02:02.14,0:02:03.39,*Default,NTP,0,0,0,,我叫妮可·斯坦
Dialogue: 0,0:02:03.39,0:02:05.29,*Default,NTP,0,0,0,,是斯坦恩·泰勒基金成長團隊的主管
Dialogue: 0,0:02:05.29,0:02:08.42,*Default,NTP,0,0,0,,-我叫迪尼希  -我叫吉爾弗約爾
Dialogue: 0,0:02:08.42,0:02:11.26,*Default,NTP,0,0,0,,名字超棒  那你們在魔笛手做些什么
Dialogue: 0,0:02:11.26,0:02:12.31,*Default,NTP,0,0,0,,我是技術總監
Dialogue: 0,0:02:12.31,0:02:15.37,*Default,NTP,0,0,0,,他在說笑  我才是技術總監
Dialogue: 0,0:02:15.65,0:02:16.75,*Default,NTP,0,0,0,,去你的我在說笑
Dialogue: 0,0:02:16.75,0:02:19.96,*Default,NTP,0,0,0,,你怎么可能是首席技術總監
Dialogue: 0,0:02:20.04,0:02:21.93,*Default,NTP,0,0,0,,我明白了  你聽到"總監"
Dialogue: 0,0:02:21.93,0:02:23.95,*Default,NTP,0,0,0,,就想到了"印第安酋長"
Dialogue: 0,0:02:23.99,0:02:25.38,*Default,NTP,0,0,0,,但你不是印第安人
Dialogue: 0,0:02:25.38,0:02:27.97,*Default,NTP,0,0,0,,第一  操你媽  我是巴基斯坦人
Dialogue: 0,0:02:27.97,0:02:30.54,*Default,NTP,0,0,0,,第二  你這種人怎么可能當技術總監
Dialogue: 0,0:02:30.54,0:02:32.01,*Default,NTP,0,0,0,,技術總監要善于組織大家
Dialogue: 0,0:02:32.01,0:02:33.35,*Default,NTP,0,0,0,,指派手下  并且要
Dialogue: 0,0:02:33.35,0:02:35.90,*Default,NTP,0,0,0,,我指派你去給我拿瓶啤酒
Dialogue: 0,0:02:35.90,0:02:37.48,*Default,NTP,0,0,0,,讓我跟妮可好好說會話
Dialogue: 0,0:02:38.17,0:02:38.89,*Default,NTP,0,0,0,,我是喬治·席爾瓦
Dialogue: 0,0:02:38.89,0:02:41.23,*Default,NTP,0,0,0,,斯坦恩·泰勒基金的運營合伙人
Dialogue: 0,0:02:41.77,0:02:44.70,*Default,NTP,0,0,0,,你們在魔笛手都做些什么
Dialogue: 0,0:02:45.41,0:02:46.93,*Default,NTP,0,0,0,,他是我們的技術總監
Dialogue: 0,0:02:51.12,0:02:52.37,*Default,NTP,0,0,0,,那是德魯·休斯頓[Dropbox創始人之一]
Dialogue: 0,0:02:52.37,0:02:54.94,*Default,NTP,0,0,0,,我們已經眉來眼去了二十分鐘
Dialogue: 0,0:02:56.36,0:02:57.77,*Default,NTP,0,0,0,,那是溫克萊斯雙胞胎
Dialogue: 0,0:02:57.77,0:03:00.75,*Default,NTP,0,0,0,,看看他們  簡直就是芭比老公的加強版
Dialogue: 0,0:03:00.75,0:03:02.87,*Default,NTP,0,0,0,,你知道他們身價有多少比特幣嗎
Dialogue: 0,0:03:03.07,0:03:05.37,*Default,NTP,0,0,0,,該死  他們分開了
Dialogue: 0,0:03:05.57,0:03:07.39,*Default,NTP,0,0,0,,卡麥隆是那個左撇子  對吧
Dialogue: 0,0:03:07.39,0:03:08.39,*Default,NTP,0,0,0,,我分不清他們
Dialogue: 0,0:03:08.39,0:03:09.67,*Default,NTP,0,0,0,,我得從右側接近他
Dialogue: 0,0:03:09.67,0:03:12.67,*Default,NTP,0,0,0,,在不被他們察覺的情況下把他們趕到一起
Dialogue: 0,0:03:12.91,0:03:16.48,*Default,NTP,0,0,0,,瞧好吧  卡麥隆  卡麥隆
Dialogue: 0,0:03:16.97,0:03:21.28,*Default,NTP,0,0,0,,看看  看看是哪位大人物這么屌炸天啊
Dialogue: 0,0:03:21.29,0:03:23.97,*Default,NTP,0,0,0,,賈維德  '顧利拜'運營還順利吧
Dialogue: 0,0:03:24.08,0:03:26.85,*Default,NTP,0,0,0,,那你得問他們  我被踢出公司了
Dialogue: 0,0:03:26.85,0:03:30.44,*Default,NTP,0,0,0,,-什么  -我們的金主
