[Script Info]
; Script generated by Aegisub 3.0.4
; http://www.aegisub.org/
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType: v4.00+
Audio URI: Silicon.Valley.S02E05.720p.HDTV.x264-IMMERSE.mkv
Scroll Position: 645
Active Line: 644
Video Zoom Percent: 0.5
Video File: Silicon.Valley.S02E05.720p.HDTV.x264-IMMERSE.mkv
YCbCr Matrix: TV.601
Video Aspect Ratio: c1.77778
Video Position: 3405
Collisions:Normal

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:14.10,0:00:15.14,*Default,NTP,0,0,0,,該死
Dialogue: 0,0:00:15.91,0:00:16.87,*Default,NTP,0,0,0,,又來
Dialogue: 0,0:00:16.71,0:00:18.75,*Default,NTP,0,0,0,,{\an8}{\fn方正黑体简体\fs18\b1\bord1\shad1\3c&H2F2F2F&}醫療中心
Dialogue: 0,0:00:17.19,0:00:18.69,*Default,NTP,0,0,0,,我問你  理查德
Dialogue: 0,0:00:18.99,0:00:20.09,*Default,NTP,0,0,0,,你確定這不是尿
Dialogue: 0,0:00:20.45,0:00:22.01,*Default,NTP,0,0,0,,你確定你不是尿床了
Dialogue: 0,0:00:22.73,0:00:24.74,*Default,NTP,0,0,0,,我確定  不是尿
Dialogue: 0,0:00:24.74,0:00:26.04,*Default,NTP,0,0,0,,只是汗
Dialogue: 0,0:00:26.14,0:00:28.51,*Default,NTP,0,0,0,,那么你這種情況的醫學術語
Dialogue: 0,0:00:28.83,0:00:30.63,*Default,NTP,0,0,0,,是"盜汗"
Dialogue: 0,0:00:30.86,0:00:31.58,*Default,NTP,0,0,0,,好吧
Dialogue: 0,0:00:31.58,0:00:34.10,*Default,NTP,0,0,0,,但盜汗可能演變成尿床
Dialogue: 0,0:00:34.10,0:00:36.28,*Default,NTP,0,0,0,,那就很嚴重了
Dialogue: 0,0:00:37.11,0:00:37.84,*Default,NTP,0,0,0,,有多嚴重
Dialogue: 0,0:00:37.84,0:00:40.52,*Default,NTP,0,0,0,,-是說可能是癌癥嗎  -不
Dialogue: 0,0:00:40.52,0:00:41.62,*Default,NTP,0,0,0,,是太丟人了
Dialogue: 0,0:00:41.93,0:00:43.91,*Default,NTP,0,0,0,,你都是成年人了  理查德  拜托
Dialogue: 0,0:00:44.48,0:00:45.51,*Default,NTP,0,0,0,,小孩子才會尿床
Dialogue: 0,0:00:46.09,0:00:48.02,*Default,NTP,0,0,0,,但我又沒有尿床
Dialogue: 0,0:00:48.23,0:00:50.85,*Default,NTP,0,0,0,,還沒有  你的壓力水平如何
Dialogue: 0,0:00:51.51,0:00:52.87,*Default,NTP,0,0,0,,比以前更糟
Dialogue: 0,0:00:53.37,0:00:55.07,*Default,NTP,0,0,0,,我的平臺需要在一月前
Dialogue: 0,0:00:55.07,0:00:56.45,*Default,NTP,0,0,0,,發布公測版
Dialogue: 0,0:00:56.53,0:01:00.04,*Default,NTP,0,0,0,,一個噩夢般的家伙剛投資了我
