[Script Info]
; Script generated by Aegisub 3.0.4
; http://www.aegisub.org/
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType: v4.00+
Scroll Position: 668
Active Line: 671
Audio URI: silicon.valley.s02e06.720p.hdtv.x264-0sec.mkv
Video Zoom Percent: 0.625
Video File: silicon.valley.s02e06.720p.hdtv.x264-0sec.mkv
YCbCr Matrix: TV.601
Video Aspect Ratio: c1.77778
Video Position: 4590
Collisions:Normal

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:14.78,0:00:16.85,*Default,NTP,0,0,0,,{\an8}{\fn方正黑体简体\fs18\b1\bord1\shad1\3c&H2F2F2F&}紐核力\N終極格斗錦標賽
Dialogue: 0,0:00:15.74,0:00:17.69,*Default,NTP,0,0,0,,打擾下  請問這位子有人坐嗎
Dialogue: 0,0:00:18.06,0:00:19.86,*Default,NTP,0,0,0,,蓋文你啊
Dialogue: 0,0:00:20.28,0:00:21.70,*Default,NTP,0,0,0,,典型的蓋文玩笑
Dialogue: 0,0:00:22.26,0:00:24.08,*Default,NTP,0,0,0,,希望他們搞砸
Dialogue: 0,0:00:24.23,0:00:26.85,*Default,NTP,0,0,0,,太好了  莫妮卡剛好趕上
Dialogue: 0,0:00:26.92,0:00:28.11,*Default,NTP,0,0,0,,卡爾拉  看來從現在起
Dialogue: 0,0:00:28.11,0:00:29.95,*Default,NTP,0,0,0,,你不再是這屋里唯一的女性了
Dialogue: 0,0:00:30.63,0:00:31.95,*Default,NTP,0,0,0,,老天
Dialogue: 0,0:00:32.24,0:00:34.13,*Default,NTP,0,0,0,,比作為公司中唯一女性更糟的
Dialogue: 0,0:00:34.18,0:00:36.71,*Default,NTP,0,0,0,,-就是公司里只有兩位女性  -為什么
Dialogue: 0,0:00:36.76,0:00:39.16,*Default,NTP,0,0,0,,所有人都會莫名其妙地希望你們成為朋友
Dialogue: 0,0:00:39.16,0:00:41.30,*Default,NTP,0,0,0,,-特別惡心  -我錯過了嗎
Dialogue: 0,0:00:41.32,0:00:42.47,*Default,NTP,0,0,0,,-沒  -太好了
Dialogue: 0,0:00:43.57,0:00:46.77,*Default,NTP,0,0,0,,莫妮卡  我想介紹卡爾拉給你認識
Dialogue: 0,0:00:46.94,0:00:49.09,*Default,NTP,0,0,0,,卡爾拉  這位是莫妮卡
