[Script Info]
; Script generated by Aegisub 3.2.1
; http://www.aegisub.org/
Title: YYeTs
Original Script: YYeTs
Synch Point: 1
ScriptType: v4.00+

[Aegisub Project Garbage]
Scroll Position: 547
Active Line: 551
Video Position: 4950

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:06.87,0:00:07.88,*Default,NTP,0,0,0,,桌子
Dialogue: 0,0:00:08.09,0:00:11.18,*Default,NTP,0,0,0,,人可以坐在桌旁工作
Dialogue: 0,0:00:11.78,0:00:12.68,*Default,NTP,0,0,0,,也可以享受時光
Dialogue: 0,0:00:13.25,0:00:15.04,*Default,NTP,0,0,0,,任何人都可以坐在桌旁
Dialogue: 0,0:00:15.45,0:00:17.81,*Default,NTP,0,0,0,,如果桌子夠大  人們可以圍坐在旁
Dialogue: 0,0:00:17.97,0:00:21.03,*Default,NTP,0,0,0,,盡情歡笑  享受美食  互相分享
Dialogue: 0,0:00:21.14,0:00:23.55,*Default,NTP,0,0,0,,人們可以在桌旁相聚分享
Dialogue: 0,0:00:24.32,0:00:26.38,*Default,NTP,0,0,0,,這正如'魔笛手'
Dialogue: 0,0:00:27.06,0:00:29.88,*Default,NTP,0,0,0,,西柚  明信片  擁抱
Dialogue: 0,0:00:29.89,0:00:32.47,*Default,NTP,0,0,0,,這些事物讓人們通過分享而彼此接近
Dialogue: 0,0:00:32.56,0:00:35.77,*Default,NTP,0,0,0,,敞開心扉  享受人生
Dialogue: 0,0:00:35.77,0:00:40.61,*Default,NTP,0,0,0,,正如空氣  芭蕾  好發型  奇異國度
Dialogue: 0,0:00:40.61,0:00:44.95,*Default,NTP,0,0,0,,超辣辣醬  高山  七大洲  地球  生命
Dialogue: 0,0:00:45.75,0:00:48.97,*Default,NTP,0,0,0,,生命美好又憂傷  充滿希望和危險
Dialogue: 0,0:00:49.97,0:00:51.89,*Default,NTP,0,0,0,,因為我們明白  沒有分享
Dialogue: 0,0:00:51.90,0:00:54.20,*Default,NTP,0,0,0,,就無法生存
Dialogue: 0,0:00:54.22,0:00:55.53,*Default,NTP,0,0,0,,所以我們分享
Dialogue: 0,0:00:55.89,0:00:58.49,*Default,NTP,0,0,0,,這正如坐在桌旁
Dialogue: 0,0:00:58.24,0:01:05.27,*Default,NTP,0,0,0,,{\an8}'魔笛手'
Dialogue: 0,0:00:58.88,0:01:05.27,*Default,NTP,0,0,0,,{\an8}慶祝五十萬安裝
Dialogue: 0,0:00:58.90,0:01:00.13,*Default,NTP,0,0,0,,'魔笛手'
Dialogue: 0,0:01:01.44,0:01:05.84,*Default,NTP,0,0,0,,桌子  我懂了  這是個隱喻
Dialogue: 0,0:01:06.01,0:01:09.34,*Default,NTP,0,0,0,,這個廣告真棒  我們不過是個桌子
Dialogue: 0,0:01:09.95,0:01:11.49,*Default,NTP,0,0,0,,我喜歡你的裝潢
Dialogue: 0,0:01:11.49,0:01:14.33,*Default,NTP,0,0,0,,弄得真不錯
Dialogue: 0,0:01:16.53,0:01:17.90,*Default,NTP,0,0,0,,那是你的狗嗎
Dialogue: 0,0:01:19.79,0:01:21.05,*Default,NTP,0,0,0,,只是一只狗
Dialogue: 0,0:01:24.54,0:01:27.14,*Default,NTP,0,0,0,,咱倆之間沒啥共鳴  對吧
Dialogue: 0,0:01:27.25,0:01:30.00,*Default,NTP,0,0,0,,確實沒有
Dialogue: 0,0:01:31.34,0:01:32.43,*Default,NTP,0,0,0,,看
Dialogue: 0,0:01:32.43,0:01:35.57,*Default,NTP,0,0,0,,馬上就到了  大家做好準備圍過來
Dialogue: 0,0:01:36.19,0:01:40.79,*Default,NTP,0,0,0,,不  不是圍過來  是做好準備
Dialogue: 0,0:01:44.16,0:01:47.84,*Default,NTP,0,0,0,,{\an8}進門脫鞋
Dialogue: 0,0:01:44.45,0:01:47.10,*Default,NTP,0,0,0,,- 莫妮卡  - 你怎么樣
Dialogue: 0,0:01:47.10,0:01:49.32,*Default,NTP,0,0,0,,- 你沒事吧  - 不完全是
Dialogue: 0,0:01:49.33,0:01:51.51,*Default,NTP,0,0,0,,我知道  她的趴體通常都很詭異
Dialogue: 0,0:01:51.69,0:01:55.10,*Default,NTP,0,0,0,,也沒有更好的時機說這個了
Dialogue: 0,0:01:55.10,0:01:59.43,*Default,NTP,0,0,0,,但我很抱歉我沒能理解'魔笛手'
Dialogue: 0,0:01:59.43,0:02:03.71,*Default,NTP,0,0,0,,說實話  我能錯得這么徹底也是丟人
Dialogue: 0,0:02:03.71,0:02:06.68,*Default,NTP,0,0,0,,問題是  你可能沒錯
Dialogue: 0,0:02:07.05,0:02:08.68,*Default,NTP,0,0,0,,什么  你在說什么
Dialogue: 0,0:02:12.78,0:02:14.69,*Default,NTP,0,0,0,,這么說吧
Dialogue: 0,0:02:15.63,0:02:17.84,*Default,NTP,0,0,0,,'魔笛手'推出后一切都不錯
Dialogue: 0,0:02:17.85,0:02:21.31,*Default,NTP,0,0,0,,我們剛花了一大筆錢買了這個廣告
Dialogue: 0,0:02:21.31,0:02:25.63,*Default,NTP,0,0,0,,我們現在快有五十萬安裝量了
Dialogue: 0,0:02:25.64,0:02:28.18,*Default,NTP,0,0,0,,- 對  有什么問題嗎  - 你也知道
Dialogue: 0,0:02:28.20,0:02:30.70,*Default,NTP,0,0,0,,安裝量并不重要
Dialogue: 0,0:02:30.99,0:02:34.00,*Default,NTP,0,0,0,,我們需要每日活躍用戶  人們需要經常使用
Dialogue: 0,0:02:34.04,0:02:36.20,*Default,NTP,0,0,0,,所以你們有多少活躍用戶
Dialogue: 0,0:02:36.20,0:02:38.02,*Default,NTP,0,0,0,,我說什么數會讓你說
Dialogue: 0,0:02:38.02,0:02:40.93,*Default,NTP,0,0,0,,這還真挺糟的
Dialogue: 0,0:02:40.93,0:02:43.81,*Default,NTP,0,0,0,,不知道  十萬左右
Dialogue: 0,0:02:44.69,0:02:46.63,*Default,NTP,0,0,0,,比這少嗎
Dialogue: 0,0:02:46.73,0:02:47.82,*Default,NTP,0,0,0,,少多少
Dialogue: 0,0:02:48.85,0:02:51.60,*Default,NTP,0,0,0,,- 一萬九  - 比十萬少一萬九
Dialogue: 0,0:02:51.60,0:02:54.83,*Default,NTP,0,0,0,,- 那是八萬一  - 不  就一萬九
Dialogue: 0,0:02:54.84,0:02:56.92,*Default,NTP,0,0,0,,-就這個數  -什么
Dialogue: 0,0:02:56.92,0:02:59.77,*Default,NTP,0,0,0,,-這太糟了  -我知道
Dialogue: 0,0:02:59.94,0:03:01.94,*Default,NTP,0,0,0,,那是藝術  不是椅子
Dialogue: 0,0:03:03.40,0:03:05.92,*Default,NTP,0,0,0,,理查德  你還沒告訴勞里吧
Dialogue: 0,0:03:05.92,0:03:08.37,*Default,NTP,0,0,0,,-沒有  -還有誰知道
Dialogue: 0,0:03:09.09,0:03:11.02,*Default,NTP,0,0,0,,-迪尼希和吉爾弗約爾  -不知道
Dialogue: 0,0:03:12.34,0:03:13.28,*Default,NTP,0,0,0,,埃利希
Dialogue: 0,0:03:14.11,0:03:14.96,*Default,NTP,0,0,0,,不知道
Dialogue: 0,0:03:16.51,0:03:18.05,*Default,NTP,0,0,0,,顯然賈里德知道
Dialogue: 0,0:03:30.23,0:03:32.45,*Default,NTP,0,0,0,,雖然人們是因為'魔笛手'才知道我
Dialogue: 0,0:03:32.45,0:03:35.85,*Default,NTP,0,0,0,,但我還熱愛很多其它酷的事
Dialogue: 0,0:03:35.86,0:03:37.32,*Default,NTP,0,0,0,,有很多
Dialogue: 0,0:03:38.04,0:03:39.55,*Default,NTP,0,0,0,,你看著很驚訝
Dialogue: 0,0:03:39.67,0:03:42.21,*Default,NTP,0,0,0,,我給你舉個例子  幾個月前
Dialogue: 0,0:03:42.21,0:03:44.25,*Default,NTP,0,0,0,,我在電腦前自由編碼
Dialogue: 0,0:03:44.25,0:03:45.98,*Default,NTP,0,0,0,,跟著靈感走
Dialogue: 0,0:03:46.08,0:03:48.61,*Default,NTP,0,0,0,,在我還沒意識到以前
Dialogue: 0,0:03:48.61,0:03:51.85,*Default,NTP,0,0,0,,我做出了有史以來最偉大的視頻通話軟件
Dialogue: 0,0:03:52.21,0:03:55.19,*Default,NTP,0,0,0,,你幾個月前發明了Skype
Dialogue: 0,0:03:55.23,0:03:58.20,*Default,NTP,0,0,0,,好點子隨時出現在我腦海中
Dialogue: 0,0:03:58.36,0:04:00.79,*Default,NTP,0,0,0,,平臺算是團隊合作的結果
Dialogue: 0,0:04:00.79,0:04:04.12,*Default,NTP,0,0,0,,但視頻通話軟件是我的個人杰作
